"item_id","location_id","_date"
"500-041676",14,"2022-01-01"
"500-052602",14,"2022-01-01"
"500-042584",14,"2022-01-01"
"500-044296",14,"2022-01-01"
"500-044719",14,"2022-01-01"
"500-016484",14,"2022-01-01"
"500-027243",14,"2022-01-01"
"500-034237",14,"2022-01-01"
"500-025422",14,"2022-01-01"
"500-006702",14,"2022-01-01"
"500-032525",14,"2022-01-01"
"500-036199",14,"2022-01-01"
"500-065797",14,"2022-01-01"
"500-012038",14,"2022-01-01"
"500-042875",14,"2022-01-01"
"500-051801",14,"2022-01-01"
"500-008739",14,"2022-01-01"
"500-046906",14,"2022-01-01"
"500-054003",14,"2022-01-01"
"500-056662",14,"2022-01-01"
"500-048010",14,"2022-01-01"
"500-059605",14,"2022-01-01"
"500-052711",14,"2022-01-01"
"500-043104",14,"2022-01-01"
"500-066887",14,"2022-01-01"
"500-062445",14,"2022-01-01"
"500-060224",14,"2022-01-01"
"500-049832",14,"2022-01-01"
"500-037559",14,"2022-01-01"
"500-042926",14,"2022-01-01"
"500-026683",14,"2022-01-01"
"500-042158",14,"2022-01-01"
"500-005812",14,"2022-01-01"
"500-016866",14,"2022-01-01"
"500-019801",14,"2022-01-01"
"500-031784",14,"2022-01-01"
"500-030217",14,"2022-01-01"
"500-032476",14,"2022-01-01"
"500-009636",14,"2022-01-01"
"500-025571",14,"2022-01-01"
"500-004030",14,"2022-01-01"
"500-052751",14,"2022-01-01"
"500-043144",14,"2022-01-01"
"500-050130",14,"2022-01-01"
"500-066576",14,"2022-01-01"
"500-054043",14,"2022-01-01"
"500-030798",14,"2022-01-01"
"500-065684",14,"2022-01-01"
"500-037519",14,"2022-01-01"
"500-046815",14,"2022-01-01"
"500-014639",14,"2022-01-01"
"500-016058",14,"2022-01-01"
"500-016826",14,"2022-01-01"
"500-001490",14,"2022-01-01"
"500-063459",14,"2022-01-01"
"500-007382",14,"2022-01-01"
"500-015665",14,"2022-01-01"
"500-032987",14,"2022-01-01"
"500-021442",14,"2022-01-01"
"500-025880",14,"2022-01-01"
"500-036762",14,"2022-01-01"
"500-035921",14,"2022-01-01"
"500-033382",14,"2022-01-01"
"500-031852",14,"2022-01-01"
"500-035490",14,"2022-01-01"
"500-061861",14,"2022-01-01"
"500-046783",14,"2022-01-01"
"500-038759",14,"2022-01-01"
"500-065912",14,"2022-01-01"
"500-050317",14,"2022-01-01"
"500-052576",14,"2022-01-01"
"500-004798",14,"2022-01-01"
"500-045471",14,"2022-01-01"
"500-047210",14,"2022-01-01"
"500-054264",14,"2022-01-01"
"500-066751",14,"2022-01-01"
"500-048277",14,"2022-01-01"
"500-064130",14,"2022-01-01"
"500-030030",14,"2022-01-01"
"500-006476",14,"2022-01-01"
"500-067282",14,"2022-01-01"
"500-066711",14,"2022-01-01"
"500-047250",14,"2022-01-01"
"500-060003",14,"2022-01-01"
"500-043323",14,"2022-01-01"
"500-050357",14,"2022-01-01"
"500-052536",14,"2022-01-01"
"500-031993",14,"2022-01-01"
"500-057829",14,"2022-01-01"
"500-008003",14,"2022-01-01"
"500-037330",14,"2022-01-01"
"500-019616",14,"2022-01-01"
"500-002935",14,"2022-01-01"
"500-011941",14,"2022-01-01"
"500-050719",14,"2022-01-01"
"500-048679",14,"2022-01-01"
"500-006846",14,"2022-01-01"
"500-025318",14,"2022-01-01"
"500-041972",14,"2022-01-01"
"500-058030",14,"2022-01-01"
"500-053124",14,"2022-01-01"
"500-063270",14,"2022-01-01"
"500-061411",14,"2022-01-01"
"500-014050",14,"2022-01-01"
"500-038317",14,"2022-01-01"
"500-003157",14,"2022-01-01"
"500-031462",14,"2022-01-01"
"500-048639",14,"2022-01-01"
"500-052138",14,"2022-01-01"
"500-050759",14,"2022-01-01"
"500-052946",14,"2022-01-01"
"500-027888",14,"2022-01-01"
"500-056835",14,"2022-01-01"
"500-050296",14,"2022-01-01"
"500-004619",14,"2022-01-01"
"500-063230",14,"2022-01-01"
"500-061451",14,"2022-01-01"
"500-065893",14,"2022-01-01"
"500-042771",14,"2022-01-01"
"500-051705",14,"2022-01-01"
"500-042556",14,"2022-01-01"
"500-053343",14,"2022-01-01"
"500-046994",14,"2022-01-01"
"500-051893",14,"2022-01-01"
"500-067164",14,"2022-01-01"
"500-062835",14,"2022-01-01"
"500-032078",14,"2022-01-01"
"500-009238",14,"2022-01-01"
"500-066138",14,"2022-01-01"
"500-064759",14,"2022-01-01"
"500-011697",14,"2022-01-01"
"500-039912",14,"2022-01-01"
"500-047479",14,"2022-01-01"
"500-021872",14,"2022-01-01"
"500-019471",14,"2022-01-01"
"500-042099",14,"2022-01-01"
"500-037157",14,"2022-01-01"
"500-005462",14,"2022-01-01"
"500-038130",14,"2022-01-01"
"500-033024",14,"2022-01-01"
"500-010304",14,"2022-01-01"
"500-067124",14,"2022-01-01"
"500-065745",14,"2022-01-01"
"500-055411",14,"2022-01-01"
"500-063057",14,"2022-01-01"
"500-052690",14,"2022-01-01"
"500-009278",14,"2022-01-01"
"500-066906",14,"2022-01-01"
"500-062875",14,"2022-01-01"
"500-011318",14,"2022-01-01"
"500-048191",14,"2022-01-01"
"500-036484",14,"2022-01-01"
"500-027291",14,"2022-01-01"
"500-064719",14,"2022-01-01"
"500-003330",14,"2022-01-01"
"500-020010",14,"2022-01-01"
"500-005422",14,"2022-01-01"
"500-007243",14,"2022-01-01"
"500-019431",14,"2022-01-01"
"500-026702",14,"2022-01-01"
"500-024163",14,"2022-01-01"
"500-043223",14,"2022-01-01"
"500-045880",14,"2022-01-01"
"500-060103",14,"2022-01-01"
"500-045531",14,"2022-01-01"
"500-027849",14,"2022-01-01"
"500-066611",14,"2022-01-01"
"500-020779",14,"2022-01-01"
"500-065852",14,"2022-01-01"
"500-038619",14,"2022-01-01"
"500-035861",14,"2022-01-01"
"500-036622",14,"2022-01-01"
"500-030130",14,"2022-01-01"
"500-021725",14,"2022-01-01"
"500-032751",14,"2022-01-01"
"500-059562",14,"2022-01-01"
"500-066651",14,"2022-01-01"
"500-047310",14,"2022-01-01"
"500-045571",14,"2022-01-01"
"500-052476",14,"2022-01-01"
"500-043263",14,"2022-01-01"
"500-051784",14,"2022-01-01"
"500-019318",14,"2022-01-01"
"500-065812",14,"2022-01-01"
"500-038659",14,"2022-01-01"
"500-022926",14,"2022-01-01"
"500-011431",14,"2022-01-01"
"500-028010",14,"2022-01-01"
"500-045299",14,"2022-01-01"
"500-034224",14,"2022-01-01"
"500-036445",14,"2022-01-01"
"500-016497",14,"2022-01-01"
"500-063559",14,"2022-01-01"
"500-016926",14,"2022-01-01"
"500-063096",14,"2022-01-01"
"500-046915",14,"2022-01-01"
"500-035278",14,"2022-01-01"
"500-065784",14,"2022-01-01"
"500-047137",14,"2022-01-01"
"500-048150",14,"2022-01-01"
"500-043044",14,"2022-01-01"
"500-041625",14,"2022-01-01"
"500-052651",14,"2022-01-01"
"500-060364",14,"2022-01-01"
"500-002622",14,"2022-01-01"
"500-011656",14,"2022-01-01"
"500-013037",14,"2022-01-01"
"500-064798",14,"2022-01-01"
"500-031684",14,"2022-01-01"
"500-058759",14,"2022-01-01"
"500-005912",14,"2022-01-01"
"500-016966",14,"2022-01-01"
"500-042058",14,"2022-01-01"
"500-061378",14,"2022-01-01"
"500-001861",14,"2022-01-01"
"500-044285",14,"2022-01-01"
"500-016118",14,"2022-01-01"
"500-062545",14,"2022-01-01"
"500-043004",14,"2022-01-01"
"500-050070",14,"2022-01-01"
"500-041665",14,"2022-01-01"
"500-052611",14,"2022-01-01"
"500-048110",14,"2022-01-01"
"500-045716",14,"2022-01-01"
"500-014337",14,"2022-01-01"
"500-033164",14,"2022-01-01"
"500-003230",14,"2022-01-01"
"500-005893",14,"2022-01-01"
"500-064619",14,"2022-01-01"
"500-036835",14,"2022-01-01"
"500-021483",14,"2022-01-01"
"500-045358",14,"2022-01-01"
"500-021932",14,"2022-01-01"
"500-059684",14,"2022-01-01"
"500-030759",14,"2022-01-01"
"500-009378",14,"2022-01-01"
"500-052790",14,"2022-01-01"
"500-042416",14,"2022-01-01"
"500-063157",14,"2022-01-01"
"500-061736",14,"2022-01-01"
"500-046565",14,"2022-01-01"
"500-044304",14,"2022-01-01"
"500-067024",14,"2022-01-01"
"500-033124",14,"2022-01-01"
"500-007303",14,"2022-01-01"
"500-005562",14,"2022-01-01"
"500-008364",14,"2022-01-01"
"500-037057",14,"2022-01-01"
"500-026642",14,"2022-01-01"
"500-021972",14,"2022-01-01"
"500-047579",14,"2022-01-01"
"500-011797",14,"2022-01-01"
"500-066846",14,"2022-01-01"
"500-062935",14,"2022-01-01"
"500-065605",14,"2022-01-01"
"500-058357",14,"2022-01-01"
"500-067064",14,"2022-01-01"
"500-055551",14,"2022-01-01"
"500-044344",14,"2022-01-01"
"500-063117",14,"2022-01-01"
"500-061776",14,"2022-01-01"
"500-046894",14,"2022-01-01"
"500-053243",14,"2022-01-01"
"500-037598",14,"2022-01-01"
"500-051422",14,"2022-01-01"
"500-044163",14,"2022-01-01"
"500-046702",14,"2022-01-01"
"500-065422",14,"2022-01-01"
"500-042671",14,"2022-01-01"
"500-004719",14,"2022-01-01"
"500-059952",14,"2022-01-01"
"500-041583",14,"2022-01-01"
"500-045941",14,"2022-01-01"
"500-047291",14,"2022-01-01"
"500-056484",14,"2022-01-01"
"500-027988",14,"2022-01-01"
"500-050659",14,"2022-01-01"
"500-034182",14,"2022-01-01"
"500-009961",14,"2022-01-01"
"500-032690",14,"2022-01-01"
"500-033303",14,"2022-01-01"
"500-012642",14,"2022-01-01"
"500-037270",14,"2022-01-01"
"500-007124",14,"2022-01-01"
"500-014150",14,"2022-01-01"
"500-038217",14,"2022-01-01"
"500-038798",14,"2022-01-01"
"500-042631",14,"2022-01-01"
"500-051645",14,"2022-01-01"
"500-065462",14,"2022-01-01"
"500-044123",14,"2022-01-01"
"500-046742",14,"2022-01-01"
"500-041872",14,"2022-01-01"
"500-060082",14,"2022-01-01"
"500-009490",14,"2022-01-01"
"500-052078",14,"2022-01-01"
"500-004296",14,"2022-01-01"
"500-038257",14,"2022-01-01"
"500-003017",14,"2022-01-01"
"500-010063",14,"2022-01-01"
"500-033343",14,"2022-01-01"
"500-011912",14,"2022-01-01"
"500-056058",14,"2022-01-01"
"500-006815",14,"2022-01-01"
"500-020264",14,"2022-01-01"
"500-014043",14,"2022-01-01"
"500-038304",14,"2022-01-01"
"500-026576",14,"2022-01-01"
"500-065531",14,"2022-01-01"
"500-055665",14,"2022-01-01"
"500-044070",14,"2022-01-01"
"500-005399",14,"2022-01-01"
"500-061442",14,"2022-01-01"
"500-051716",14,"2022-01-01"
"500-023459",14,"2022-01-01"
"500-041921",14,"2022-01-01"
"500-002118",14,"2022-01-01"
"500-002926",14,"2022-01-01"
"500-011952",14,"2022-01-01"
"500-018396",14,"2022-01-01"
"500-024357",14,"2022-01-01"
"500-031980",14,"2022-01-01"
"500-038344",14,"2022-01-01"
"500-053949",14,"2022-01-01"
"500-003104",14,"2022-01-01"
"500-042722",14,"2022-01-01"
"500-051756",14,"2022-01-01"
"500-063263",14,"2022-01-01"
"500-061402",14,"2022-01-01"
"500-046651",14,"2022-01-01"
"500-044030",14,"2022-01-01"
"500-007809",14,"2022-01-01"
"500-065571",14,"2022-01-01"
"500-066683",14,"2022-01-01"
"500-000739",14,"2022-01-01"
"500-002158",14,"2022-01-01"
"500-041961",14,"2022-01-01"
"500-060191",14,"2022-01-01"
"500-059801",14,"2022-01-01"
"500-045812",14,"2022-01-01"
"500-062866",14,"2022-01-01"
"500-052683",14,"2022-01-01"
"500-066915",14,"2022-01-01"
"500-063044",14,"2022-01-01"
"500-033809",14,"2022-01-01"
"500-065756",14,"2022-01-01"
"500-055402",14,"2022-01-01"
"500-005431",14,"2022-01-01"
"500-029776",14,"2022-01-01"
"500-038163",14,"2022-01-01"
"500-024170",14,"2022-01-01"
"500-003323",14,"2022-01-01"
"500-065299",14,"2022-01-01"
"500-030385",14,"2022-01-01"
"500-021590",14,"2022-01-01"
"500-043559",14,"2022-01-01"
"500-027282",14,"2022-01-01"
"500-062597",14,"2022-01-01"
"500-015238",14,"2022-01-01"
"500-066955",14,"2022-01-01"
"500-064285",14,"2022-01-01"
"500-062826",14,"2022-01-01"
"500-065716",14,"2022-01-01"
"500-040324",14,"2022-01-01"
"500-053350",14,"2022-01-01"
"500-063004",14,"2022-01-01"
"500-020043",14,"2022-01-01"
"500-019462",14,"2022-01-01"
"500-029736",14,"2022-01-01"
"500-007210",14,"2022-01-01"
"500-038123",14,"2022-01-01"
"500-006783",14,"2022-01-01"
"500-060639",14,"2022-01-01"
"500-062058",14,"2022-01-01"
"500-021861",14,"2022-01-01"
"500-039901",14,"2022-01-01"
"500-025912",14,"2022-01-01"
"500-046806",14,"2022-01-01"
"500-063185",14,"2022-01-01"
"500-065697",14,"2022-01-01"
"500-059656",14,"2022-01-01"
"500-066565",14,"2022-01-01"
"500-045645",14,"2022-01-01"
"500-041736",14,"2022-01-01"
"500-050123",14,"2022-01-01"
"500-011705",14,"2022-01-01"
"500-023230",14,"2022-01-01"
"500-021451",14,"2022-01-01"
"500-032425",14,"2022-01-01"
"500-032994",14,"2022-01-01"
"500-043498",14,"2022-01-01"
"500-036556",14,"2022-01-01"
"500-016584",14,"2022-01-01"
"500-007391",14,"2022-01-01"
"500-012946",14,"2022-01-01"
"500-046078",14,"2022-01-01"
"500-016835",14,"2022-01-01"
"500-051941",14,"2022-01-01"
"500-033988",14,"2022-01-01"
"500-060237",14,"2022-01-01"
"500-054010",14,"2022-01-01"
"500-045605",14,"2022-01-01"
"500-025562",14,"2022-01-01"
"500-036516",14,"2022-01-01"
"500-034377",14,"2022-01-01"
"500-006642",14,"2022-01-01"
"500-039571",14,"2022-01-01"
"500-004023",14,"2022-01-01"
"500-062199",14,"2022-01-01"
"500-002731",14,"2022-01-01"
"500-065318",14,"2022-01-01"
"500-046038",14,"2022-01-01"
"500-020182",14,"2022-01-01"
"500-051318",14,"2022-01-01"
"500-053579",14,"2022-01-01"
"500-019784",14,"2022-01-01"
"500-004204",14,"2022-01-01"
"500-018217",14,"2022-01-01"
"500-009402",14,"2022-01-01"
"500-011562",14,"2022-01-01"
"500-060010",14,"2022-01-01"
"500-043330",14,"2022-01-01"
"500-041551",14,"2022-01-01"
"500-052525",14,"2022-01-01"
"500-059431",14,"2022-01-01"
"500-066702",14,"2022-01-01"
"500-064163",14,"2022-01-01"
"500-045422",14,"2022-01-01"
"500-047243",14,"2022-01-01"
"500-007988",14,"2022-01-01"
"500-024719",14,"2022-01-01"
"500-065941",14,"2022-01-01"
"500-029490",14,"2022-01-01"
"500-053539",14,"2022-01-01"
"500-035483",14,"2022-01-01"
"500-053888",14,"2022-01-01"
"500-032602",14,"2022-01-01"
"500-023017",14,"2022-01-01"
"500-002556",14,"2022-01-01"
"500-027164",14,"2022-01-01"
"500-025705",14,"2022-01-01"
"500-036771",14,"2022-01-01"
"500-066742",14,"2022-01-01"
"500-002099",14,"2022-01-01"
"500-048264",14,"2022-01-01"
"500-052565",14,"2022-01-01"
"500-018798",14,"2022-01-01"
"500-065901",14,"2022-01-01"
"500-005218",14,"2022-01-01"
"500-007479",14,"2022-01-01"
"500-051697",14,"2022-01-01"
"500-061872",14,"2022-01-01"
"500-046790",14,"2022-01-01"
"500-050331",14,"2022-01-01"
"500-052550",14,"2022-01-01"
"500-048251",14,"2022-01-01"
"500-030599",14,"2022-01-01"
"500-045457",14,"2022-01-01"
"500-056423",14,"2022-01-01"
"500-047236",14,"2022-01-01"
"500-065485",14,"2022-01-01"
"500-063397",14,"2022-01-01"
"500-063658",14,"2022-01-01"
"500-016796",14,"2022-01-01"
"500-006410",14,"2022-01-01"
"500-018262",14,"2022-01-01"
"500-002563",14,"2022-01-01"
"500-030056",14,"2022-01-01"
"500-054202",14,"2022-01-01"
"500-066737",14,"2022-01-01"
"500-011098",14,"2022-01-01"
"500-064156",14,"2022-01-01"
"500-043305",14,"2022-01-01"
"500-041564",14,"2022-01-01"
"500-052510",14,"2022-01-01"
"500-062644",14,"2022-01-01"
"500-065974",14,"2022-01-01"
"500-058197",14,"2022-01-01"
"500-044184",14,"2022-01-01"
"500-042359",14,"2022-01-01"
"500-037297",14,"2022-01-01"
"500-015995",14,"2022-01-01"
"500-027111",14,"2022-01-01"
"500-028176",14,"2022-01-01"
"500-006450",14,"2022-01-01"
"500-002892",14,"2022-01-01"
"500-064928",14,"2022-01-01"
"500-002704",14,"2022-01-01"
"500-032450",14,"2022-01-01"
"500-036892",14,"2022-01-01"
"500-004016",14,"2022-01-01"
"500-028351",14,"2022-01-01"
"500-050499",14,"2022-01-01"
"500-036523",14,"2022-01-01"
"500-021995",14,"2022-01-01"
"500-055079",14,"2022-01-01"
"500-057618",14,"2022-01-01"
"500-046873",14,"2022-01-01"
"500-038518",14,"2022-01-01"
"500-020478",14,"2022-01-01"
"500-042900",14,"2022-01-01"
"500-067083",14,"2022-01-01"
"500-048036",14,"2022-01-01"
"500-064371",14,"2022-01-01"
"500-059623",14,"2022-01-01"
"500-054025",14,"2022-01-01"
"500-062463",14,"2022-01-01"
"500-041743",14,"2022-01-01"
"500-052737",14,"2022-01-01"
"500-034302",14,"2022-01-01"
"500-030271",14,"2022-01-01"
"500-002744",14,"2022-01-01"
"500-016800",14,"2022-01-01"
"500-038097",14,"2022-01-01"
"500-003718",14,"2022-01-01"
"500-057397",14,"2022-01-01"
"500-046582",14,"2022-01-01"
"500-051934",14,"2022-01-01"
"500-051485",14,"2022-01-01"
"500-020989",14,"2022-01-01"
"500-041703",14,"2022-01-01"
"500-060242",14,"2022-01-01"
"500-004828",14,"2022-01-01"
"500-064331",14,"2022-01-01"
"500-016430",14,"2022-01-01"
"500-029703",14,"2022-01-01"
"500-014251",14,"2022-01-01"
"500-019457",14,"2022-01-01"
"500-003356",14,"2022-01-01"
"500-033002",14,"2022-01-01"
"500-023384",14,"2022-01-01"
"500-050558",14,"2022-01-01"
"500-052339",14,"2022-01-01"
"500-028290",14,"2022-01-01"
"500-048989",14,"2022-01-01"
"500-047190",14,"2022-01-01"
"500-027738",14,"2022-01-01"
"500-050097",14,"2022-01-01"
"500-042570",14,"2022-01-01"
"500-051504",14,"2022-01-01"
"500-020808",14,"2022-01-01"
"500-065723",14,"2022-01-01"
"500-038968",14,"2022-01-01"
"500-022657",14,"2022-01-01"
"500-003316",14,"2022-01-01"
"500-012503",14,"2022-01-01"
"500-005404",14,"2022-01-01"
"500-004197",14,"2022-01-01"
"500-050518",14,"2022-01-01"
"500-052379",14,"2022-01-01"
"500-048478",14,"2022-01-01"
"500-066920",14,"2022-01-01"
"500-004458",14,"2022-01-01"
"500-044222",14,"2022-01-01"
"500-022398",14,"2022-01-01"
"500-055437",14,"2022-01-01"
"500-058231",14,"2022-01-01"
"500-038928",14,"2022-01-01"
"500-040351",14,"2022-01-01"
"500-020848",14,"2022-01-01"
"500-038499",14,"2022-01-01"
"500-049995",14,"2022-01-01"
"500-065544",14,"2022-01-01"
"500-014848",14,"2022-01-01"
"500-055610",14,"2022-01-01"
"500-057071",14,"2022-01-01"
"500-063256",14,"2022-01-01"
"500-042717",14,"2022-01-01"
"500-045827",14,"2022-01-01"
"500-059834",14,"2022-01-01"
"500-030458",14,"2022-01-01"
"500-047638",14,"2022-01-01"
"500-015814",14,"2022-01-01"
"500-010145",14,"2022-01-01"
"500-031404",14,"2022-01-01"
"500-058868",14,"2022-01-01"
"500-038371",14,"2022-01-01"
"500-005623",14,"2022-01-01"
"500-051723",14,"2022-01-01"
"500-037699",14,"2022-01-01"
"500-061477",14,"2022-01-01"
"500-046624",14,"2022-01-01"
"500-044045",14,"2022-01-01"
"500-059874",14,"2022-01-01"
"500-028578",14,"2022-01-01"
